entry,exit,side,pnl,time
108454.8366,108248.44029999999,SHORT,0.1903062200547427,336
108248.44029999999,108718.173,LONG,0.43398736175213304,559
108718.173,108468.66029999999,SHORT,0.2296106655703609,652
108468.66029999999,111104.6841,LONG,2.4317087745985906,844
111104.6841,112698.48589999999,SHORT,-1.4387572419269417,880
112698.48589999999,117322.95959999999,LONG,4.1093328694904345,931
117262.02059999999,119914.8951,SHORT,-2.2747283876190303,1207
116985.96909999999,118138.6431,LONG,0.9883802985872928,1492
118138.6431,118812.99429999999,SHORT,-0.5731104643071704,1555
118812.99429999999,118518.6627,LONG,-0.24856174908739576,1617
118518.6627,118118.1001,SHORT,0.3390023358763989,1684
118118.1001,117864.91709999999,LONG,-0.21505483230218217,1861
117864.91709999999,118362.44419999998,SHORT,-0.42338502033731856,1994
118362.44419999998,118581.3999,LONG,0.1854502563955439,2078
118581.3999,116166.1501,SHORT,2.0420959787552353,2306
116166.1501,118779.50159999999,LONG,2.2599469420473732,2574
118779.50159999999,118176.05799999999,SHORT,0.5114651688794141,2742
118176.05799999999,115577.307,LONG,-2.2148381175395917,2924
113978.907,114106.29229999999,SHORT,-0.11230811016472114,3043
114106.29229999999,114479.9055,LONG,0.3289619007111194,3320
114479.9055,114974.9601,SHORT,-0.4345744687234774,3358
114974.9601,114847.43759999999,LONG,-0.11140411664968569,3508
114847.43759999999,115567.85239999997,SHORT,-0.6299355291131645,3542
115567.85239999997,116583.3,LONG,0.8817548895902583,3617
116583.3,117042.92599999999,SHORT,-0.3959516962723811,3684
117042.92599999999,116576.4069,LONG,-0.4001217346678986,3760
116576.4069,117993.07519999998,SHORT,-1.2193196315298038,3802
117993.07519999998,120035.1447,LONG,1.7342470652281297,3935
120035.1447,119858.63889999998,SHORT,0.14759223703766364,4043
119858.63889999998,121670.60759999999,LONG,1.5174816441387637,4201
121670.60759999999,116901.78499999999,SHORT,3.9399316073521455,4332
117867.44969999998,117132.2505,LONG,-0.6294181623327598,4406
117132.2505,118196.57849999999,SHORT,-0.9162658436791823,4483
118196.57849999999,117647.4348,LONG,-0.46803018170662003,4531
117647.4348,112884.77199999998,SHORT,4.07590103242902,4730
113692.77919999999,112541.64570000001,LONG,-1.023457346036431,4806
112541.64570000001,115243.02789999999,SHORT,-2.4236793473451814,4998
115710.174,111069.7588,SHORT,4.039324369979423,5273
112764.05139999998,109890.79920000001,LONG,-2.5765038895304264,5310
110373.46319999998,108046.3455,LONG,-2.126370856687787,5673
108384.27599999998,108548.24309999999,LONG,0.15223856458534027,5837
108548.24309999999,109017.00809999999,SHORT,-0.43460783916203594,5878
109017.00809999999,108988.1028,LONG,-0.026670181614701676,5976
108988.1028,111534.22279999999,SHORT,-2.3496126406774476,6055
110536.95240000001,113013.00009999999,SHORT,-2.2474861279746685,6317
110563.4259,110560.95049999999,SHORT,0.002241146606277796,6488
110560.95049999999,111058.43040000001,LONG,0.4503771727306936,6559
111058.43040000001,113075.0621,SHORT,-1.8181856164001815,6698
113075.0621,111159.62909999999,LONG,-1.6929293876235847,6731
111159.62909999999,111411.29999999999,SHORT,-0.22586753979011476,6775
111411.29999999999,113846.93909999999,LONG,2.180311141303867,6909
113846.93909999999,115903.18739999998,SHORT,-1.8051044330771222,7027
115903.18739999998,115588.3959,LONG,-0.27092901599407165,7071
115588.3959,115944.02819999999,SHORT,-0.3068048260704036,7145
115944.02819999999,115222.9617,LONG,-0.6199172335508495,7394
115222.9617,116455.13879999999,SHORT,-1.065211975489958,7532
116455.13879999999,116598.6846,LONG,0.12264056123800657,7626
116598.6846,112462.34999999999,SHORT,3.529742917164283,7989
112462.34999999999,109978.6113,LONG,-2.2050768894966595,8274
109977.9681,109237.55309999999,LONG,-0.670656076891449,8515
109237.55309999999,111794.28259999999,SHORT,-2.329786005751244,8583
120449.32899999998,121638.3399,LONG,0.9802385155621895,9079
121638.3399,122323.10089999998,SHORT,-0.5595159400533827,9162
122323.10089999998,122958.3186,LONG,0.5157967756653153,9215
122958.3186,123769.84619999999,SHORT,-0.6558439916785499,9264
123769.84619999999,120969.0099,LONG,-2.247017360626092,9423
122016.19429999999,119068.812,LONG,-2.392953300405623,9707
112394.78249999999,109884.90509999999,LONG,-2.2066671984695096,9826
111978.66679999999,115234.1505,LONG,2.8661926498715466,9962
115234.1505,115842.3266,SHORT,-0.5217937907976533,10013
115842.3266,113327.0595,LONG,-2.145376286575735,10042
112815.3026,111866.72129999999,LONG,-0.8289240467201002,10141
111866.72129999999,111366.15489999998,SHORT,0.44072636282508704,10274
111366.15489999998,108365.526,LONG,-2.6547702610785584,10285
109090.18119999999,106592.40090000001,LONG,-2.2497297460510346,10345
106511.70529999999,106731.4617,LONG,0.20224417613687218,10438
106731.4617,107223.51639999998,SHORT,-0.45196788749426553,10501
107223.51639999998,107964.72720000001,LONG,0.6773345647394775,10611
107964.72720000001,110455.1448,SHORT,-2.261554736988271,10622
109805.89619999999,108950.3406,LONG,-0.7620811622843866,10795
108950.3406,108750.84219999998,SHORT,0.17894366317561552,10907
108750.84219999998,110067.5223,LONG,1.1833084099692928,11049
110067.5223,112743.43079999999,SHORT,-2.3787727772441247,11219
114901.3836,114584.46999999999,SHORT,0.26919323102067316,11413
114584.46999999999,112379.90759999999,LONG,-1.8781498187205314,11455
112379.90759999999,113352.73949999998,SHORT,-0.8433578294392181,11500
113352.73949999998,110876.7123,LONG,-2.126057950925994,11534
109924.9151,107328.16440000001,LONG,-2.2940437384965096,11620
109385.57629999999,109306.3842,LONG,-0.07013387172321837,11737
109306.3842,88976.58769999999,SHORT,18.014712670240307,11758
86604.71819999999,90521.388,LONG,4.4615679524493554,11914
93095.90289999999,93145.36140000001,LONG,0.052643743184622914,12076
93145.36140000001,92704.51189999998,SHORT,0.46897946777574745,12152
92704.51189999998,90682.3269,LONG,-2.162298141545168,12195
89726.1365,87793.41870000001,LONG,-2.130405271875233,12391
91373.8826,89238.672,LONG,-2.3060061171300843,12422
91208.31719999999,89554.8555,LONG,-1.784641772974331,12492
89554.8555,90740.75009999999,SHORT,-1.3011453018298886,12527
90740.75009999999,92110.8969,LONG,1.4815730854290758,12628
92110.8969,93006.7138,SHORT,-0.9556236770989395,12701
93006.7138,90844.5645,LONG,-2.2818785085993825,12722
89672.4378,91626.93539999999,SHORT,-2.134283427760379,12800
90391.80149999999,88466.9445,LONG,-2.080475164154501,13084
89316.12689999999,87916.2957,LONG,-1.5278427116325524,13161
87916.2957,87760.57289999998,SHORT,0.1723851941348803,13351
87760.57289999998,85815.49859999999,LONG,-2.157228232324028,13368
86792.30559999999,85540.47390000001,LONG,-1.4006383699706553,13467
85540.47390000001,87416.72939999998,SHORT,-2.126768571496484,13502
87041.5546,86904.5085,LONG,-0.1523179594576979,13560
86904.5085,88745.85719999998,SHORT,-2.049281857289489,13714
89015.6952,87337.7505,SHORT,1.8191255098810735,14021
87337.7505,86927.985,LONG,-0.4535952709525898,14156
86927.985,89088.99999999999,SHORT,-2.4021206202051424,14167
88792.01909999999,87505.5181,SHORT,1.3964216758061576,14264
87505.5181,87613.69859999999,LONG,0.11931314028855416,14491
87613.69859999999,88738.65,SHORT,-1.2392399447752405,14646
88738.65,87345.26729999999,LONG,-1.5134157631630787,14704
87345.26729999999,87695.80819999998,SHORT,-0.3861739549195737,14734
2026-04-06 15:59:23,BTCUSDT,1,-6.0558,-6.0558,LOSS
